EC	Gene	Nuccore	Virus
575	U40	U43400.1	HHV7
576	U41	U43400.1	HHV7
577	U42	U43400.1	HHV7
578	U43	U43400.1	HHV7
579	U44	U43400.1	HHV7
580	U45	U43400.1	HHV7
581	U46	U43400.1	HHV7
582	U47	U43400.1	HHV7
583	U48	U43400.1	HHV7
584	U49	U43400.1	HHV7
585	U50	U43400.1	HHV7
586	U51	U43400.1	HHV7
587	U52	U43400.1	HHV7
588	U53	U43400.1	HHV7
589	U54	U43400.1	HHV7
590	U55A	U43400.1	HHV7
591	U55B	U43400.1	HHV7
592	U56	U43400.1	HHV7
593	U57	U43400.1	HHV7
594	U58	U43400.1	HHV7
595	U59	U43400.1	HHV7
596	U60-U66	U43400.1	HHV7
597	U62	U43400.1	HHV7
598	U63	U43400.1	HHV7
599	U64	U43400.1	HHV7
600	U65	U43400.1	HHV7
601	U67	U43400.1	HHV7
602	U68	U43400.1	HHV7
603	U69	U43400.1	HHV7
604	U70	U43400.1	HHV7
605	U71	U43400.1	HHV7
606	U72	U43400.1	HHV7
607	U73	U43400.1	HHV7
608	U74	U43400.1	HHV7
609	U75	U43400.1	HHV7
610	U76	U43400.1	HHV7
611	U77	U43400.1	HHV7
612	H5	U43400.1	HHV7
613	U79	U43400.1	HHV7
614	H6	U43400.1	HHV7
615	U80	U43400.1	HHV7
616	U81	U43400.1	HHV7
617	U82	U43400.1	HHV7
618	U84	U43400.1	HHV7
619	U85	U43400.1	HHV7
620	U86	U43400.1	HHV7
621	U89	U43400.1	HHV7
622	U90	U43400.1	HHV7
623	U91	U43400.1	HHV7
624	H7	U43400.1	HHV7
625	U95	U43400.1	HHV7
626	H8	U43400.1	HHV7
627	U98	U43400.1	HHV7
628	U99	U43400.1	HHV7
629	U100	U43400.1	HHV7
630	H1'	U43400.1	HHV7
631	DR1'	U43400.1	HHV7
632	DR2'	U43400.1	HHV7
633	H2'	U43400.1	HHV7
634	DR6'	U43400.1	HHV7
635	DR7'	U43400.1	HHV7
636	H3'	U43400.1	HHV7
637	H4'	U43400.1	HHV7
638	K1	MK733606.1	HHV8
639	ORF4	MK733606.1	HHV8
640	ORF6	MK733606.1	HHV8
641	ORF7	MK733606.1	HHV8
642	ORF8	MK733606.1	HHV8
643	ORF9	MK733606.1	HHV8
644	ORF10	MK733606.1	HHV8
645	ORF11	MK733606.1	HHV8
646	K2	MK733606.1	HHV8
647	ORF2	MK733606.1	HHV8
648	K3	MK733606.1	HHV8
649	ORF70	MK733606.1	HHV8
650	K4	MK733606.1	HHV8
651	K4.1	MK733606.1	HHV8
652	K4.2	MK733606.1	HHV8
653	K5	MK733606.1	HHV8
654	K6	MK733606.1	HHV8
655	K7	MK733606.1	HHV8
656	ORF16	MK733606.1	HHV8
657	ORF17	MK733606.1	HHV8
658	ORF17.5	MK733606.1	HHV8
659	ORF18	MK733606.1	HHV8
660	ORF19	MK733606.1	HHV8
661	ORF20	MK733606.1	HHV8
662	ORF21	MK733606.1	HHV8
663	ORF22	MK733606.1	HHV8
664	ORF23	MK733606.1	HHV8
665	ORF24	MK733606.1	HHV8
666	ORF25	MK733606.1	HHV8
667	ORF26	MK733606.1	HHV8
668	ORF27	MK733606.1	HHV8
669	ORF28	MK733606.1	HHV8
670	ORF29	MK733606.1	HHV8
671	ORF30	MK733606.1	HHV8
672	ORF31	MK733606.1	HHV8
673	ORF32	MK733606.1	HHV8
674	ORF33	MK733606.1	HHV8
